# theta [deg]	beta_s [m^-1sr^-1ppm^-1]	beta_l [m^-1sr^-1ppm^-1]
0.001		5.3				140.
0.5		5.3				98.
1.		5.2				46.
1.5		5.2				26.
2.		5.1				15.
4.		4.6				3.6
6.		3.9				1.1
10.		2.5				0.2
15.		1.3				0.05
30.		0.29				0.0028
45.		0.098				0.00062
60.		0.041				0.00038
75.		0.020				0.00020
90.		0.012				0.000063
105.		0.0086				0.000044
120.		0.0074				0.000029
135.		0.0074				0.00002
150.		0.0075				0.00002
180.		0.0081				0.00007
