# "370nm" LED, NS370L-5RFS, unfiltered
# wlen[nm]	y[a.u.]
330.000	0.000
335.000	9.903e-4
340.000	0.003
345.000	0.007
350.000	0.011
355.000	0.044
360.000	0.214
365.000	0.604
370.000	1.000
375.000	0.650
380.000	0.289
385.000	0.136
390.000	0.071
395.000	0.037
400.000	0.023
405.000	0.014
410.000	0.009
415.000	0.008
420.000	0.006
425.000	0.004
430.000	0.003
435.000	0.003
440.000	0.002
445.000	0.001
450.000	4.696e-5
455.000	0.000
