#time[ns]	counts
-1.00000	0.00000
1.00000	0.01522
3.00000	0.12828
5.00000	0.38483
7.00000	0.62000
9.00000	0.82228
11.00000	0.88778
13.00000	0.91273
15.00000	0.97122
17.00000	0.98369
19.00000	0.99851
21.00000	0.99773
23.00000	1.00553
25.00000	1.00864
27.00000	0.96576
29.00000	0.99461
31.00000	1.00397
33.00000	0.97589
35.00000	1.02502
37.00000	1.02658
39.00000	0.98525
41.00000	1.01254
43.00000	0.98213
45.00000	1.02112
47.00000	1.01956
49.00000	0.99149
51.00000	1.02268
53.00000	0.98993
55.00000	0.98291
57.00000	0.99929
59.00000	1.00085
61.00000	1.00553
63.00000	1.00397
65.00000	0.98057
67.00000	1.00163
69.00000	1.00553
71.00000	0.99305
73.00000	0.93535
75.00000	0.64215
77.00000	0.33726
79.00000	0.17507
81.00000	0.11971
83.00000	0.07916
85.00000	0.04641
87.00000	0.04251
89.00000	0.03237
91.00000	0.02302
93.00000	0.02457
95.00000	0.01990
97.00000	0.01288
99.00000	0.01444
101.00000	0.01210
103.00000	0.01054
105.00000	0.00898
107.00000	0.00586
109.00000	0.00586
111.00000	0.00586
113.00000	0.00508
115.00000	0.00352
117.00000	0.00430
119.00000	0.00352
121.00000	0.00352
123.00000	0.00118
125.00000	0.00274
127.00000	0.00040
129.00000	0.00040
131.00000	0.00040
133.00000	0.00196
135.00000	0.00196
137.00000	0.00196
139.00000	0.00118
141.00000	0.00118
143.00000	0.00000
145.00000	0.00000
147.00000	0.00000
