# "340nm" LED, UVTOP335 with Hoya U340 filter, pulse current 20mA (measurement by C. Wendt)
# wlen[nm]	y[a.u.]
310.000	0.000
315.000	6.508e-4
320.000	0.024
325.000	0.157
330.000	0.501
335.000	1.000
340.000	0.824
345.000	0.632
350.000	0.491
355.000	0.365
360.000	0.215
365.000	0.151
370.000	0.068
375.000	0.029
380.000	0.007
385.000	0.000
390.000	0.000
