# "340nm" LED, UVTOP335 with Hoya U340 filter, pulse current 20mA (measurement by C. Wendt)
# wlen[nm]	y[a.u.]
310.000	0.000
315.000	6.508e-4
320.000	0.021
325.000	0.140
330.000	0.463
335.000	1.000
340.000	0.966
345.000	0.733
350.000	0.590
355.000	0.431
360.000	0.243
365.000	0.166
370.000	0.071
375.000	0.029
380.000	0.007
385.000	6.508e-4
390.000	0.000
