#wlen	num_photons
266.2921448	0.0826162
271.9101257	0.0826162
278.0898743	0.0826162
283.7078552	0.0826162
290.3130188	0.0826162
296.6292114	0.0826162
302.6691284	0.1376936
307.8651733	0.3010048
311.7977600	0.5291111
315.1685486	0.8499128
318.5393372	1.1709946
320.7864990	1.4320138
321.9100952	1.7074010
323.0336914	1.9827883
324.1572876	2.2581756
325.2808838	2.5335629
326.4044800	2.8089502
327.5280762	3.0843372
328.6516724	3.3597245
329.7752686	3.6351118
330.8988647	3.9104991
332.0224609	4.1858864
333.1460571	4.5714288
333.1460571	4.9018931
334.2696533	5.1772804
335.3932495	5.5077453
336.5168457	5.7831326
337.6404419	6.3339071
338.7640381	6.6092944
338.7640381	6.8846817
339.8876343	7.1600690
341.0112305	7.5456109
342.1348267	8.0413084
342.1348267	8.3166952
343.2584229	8.5920830
344.3820190	8.9225473
344.3820190	9.1979342
345.5056152	9.4733219
345.5056152	9.8037863
346.6292114	10.0791740
347.7528076	10.5748711
348.8764038	11.0705681
350.0000000	11.5662651
352.2471924	11.9936047
354.4943848	12.3733358
356.7415771	12.7228918
358.9887695	13.1084337
361.2359619	13.4939756
362.3595581	13.7693634
364.6067505	14.1549053
365.7303467	14.4302921
367.9775391	14.8158350
369.1011353	15.0912218
372.4719238	15.3918676
376.9023132	15.6227865
382.0224609	15.8347673
389.8876343	15.9449224
396.6292114	15.8898449
402.7210693	15.7796898
407.4364319	15.6144581
411.7977295	15.3980293
415.1685181	15.1649408
418.5393066	14.9071484
421.9100952	14.6099882
425.2808838	14.2466612
428.6516724	13.8960085
432.0224609	13.5368986
435.3932495	13.1933079
438.7640381	12.8491268
442.1348267	12.5042477
445.5056152	12.1591177
448.8764038	11.8221159
452.2471924	11.4850740
455.6179810	11.1477413
458.9887695	10.8107777
462.3595581	10.4364195
464.6067505	10.1767073
467.9775391	9.7931499
471.3483276	9.4423990
474.7191162	9.1184702
478.0898743	8.7946892
481.4606628	8.5075560
484.6920166	8.2616177
488.2022400	8.0073557
491.4865417	7.7735023
495.6657715	7.4905334
499.3206787	7.2702236
502.7083130	7.0499139
506.2341614	6.8219862
509.5505676	6.5930567
512.9213867	6.2649207
516.2921143	5.9246016
519.6629639	5.5803146
521.9101562	5.3095226
524.1573486	5.0318608
526.4045410	4.7537060
528.6517334	4.4763112
532.0224609	4.1308088
535.3932495	3.8293176
538.7640381	3.5337393
542.1636963	3.2860813
546.3986816	3.0292599
551.1235962	2.7814114
556.6845703	2.5611014
562.2888184	2.3407917
566.8200684	2.1755593
571.4080200	2.0103271
576.3509521	1.8469133
581.3955078	1.6798623
586.4707031	1.5154645
591.7632446	1.3493975
597.6071777	1.1841652
603.8023682	1.0189328
610.0050049	0.8537005
615.7303467	0.7435456
621.3482666	0.6333907
626.6612549	0.5232358
632.5842285	0.4130809
640.4494629	0.3029260
646.0673828	0.2478485
651.6854248	0.1927711
658.4269409	0.1376936
664.0449219	0.1376936
670.7864990	0.0826162
677.5280762	0.0826162
